timestamp,name,attribute_name,value
2024-06-13 09:05:31.123,PJU_KIJ_II_2,snr,1
2024-06-13 09:05:42.245,PJU_KIJ_II_2,rssi,-67
2024-06-13 09:05:42.245,PJU_KIJ_II_2,snr,8
2024-06-13 09:05:51.386,PJU_KIJ_II_2,rssi,-62
2024-06-13 09:05:51.386,PJU_KIJ_II_2,snr,2
2024-06-13 09:25:43.316,PJU_KIJ_II_2,rssi,-64
2024-06-13 09:25:43.317,PJU_KIJ_II_2,snr,8
2024-06-13 09:25:51.397,PJU_KIJ_II_2,rssi,-64
2024-06-13 09:25:51.397,PJU_KIJ_II_2,snr,8
2024-06-13 09:38:03.042,PJU_KIJ_II_2,rssi,-65
2024-06-13 09:38:03.043,PJU_KIJ_II_2,snr,9
2024-06-13 09:38:17.129,PJU_KIJ_II_2,rssi,-66
2024-06-13 09:38:17.13,PJU_KIJ_II_2,snr,9
2024-06-13 09:38:34.504,PJU_KIJ_II_2,rssi,-65
2024-06-13 09:38:34.505,PJU_KIJ_II_2,snr,11
2024-06-13 09:38:51.214,PJU_KIJ_II_2,rssi,-61
2024-06-13 09:38:51.215,PJU_KIJ_II_2,snr,-2
2024-06-13 09:39:02.584,PJU_KIJ_II_2,rssi,-65
2024-06-13 09:39:02.585,PJU_KIJ_II_2,snr,9
2024-06-13 09:39:31.978,PJU_KIJ_II_2,rssi,-65
2024-06-13 09:39:31.979,PJU_KIJ_II_2,snr,4
2024-06-13 09:39:35.844,PJU_KIJ_II_2,rssi,-64
2024-06-13 09:39:35.845,PJU_KIJ_II_2,snr,12
2024-06-13 09:42:58.398,PJU_KIJ_II_2,rssi,-68
2024-06-13 09:42:58.398,PJU_KIJ_II_2,snr,-3
2024-06-13 09:44:11.193,PJU_KIJ_II_2,rssi,-65
2024-06-13 09:44:11.193,PJU_KIJ_II_2,snr,11
2024-06-13 09:44:24.642,PJU_KIJ_II_2,rssi,-63
2024-06-13 09:44:24.642,PJU_KIJ_II_2,snr,8
2024-06-13 09:44:32.275,PJU_KIJ_II_2,rssi,-61
2024-06-13 09:44:32.276,PJU_KIJ_II_2,snr,1
2024-06-13 10:00:04.515,PJU_KIJ_II_2,rssi,-65
2024-06-13 10:00:04.515,PJU_KIJ_II_2,snr,0
2024-06-13 10:00:25.661,PJU_KIJ_II_2,rssi,-66
2024-06-13 10:00:25.662,PJU_KIJ_II_2,snr,9
2024-06-13 10:00:36.652,PJU_KIJ_II_2,rssi,-63
2024-06-13 10:00:36.653,PJU_KIJ_II_2,snr,-2
2024-06-13 10:07:02.851,PJU_KIJ_II_2,rssi,-68
2024-06-13 10:07:02.851,PJU_KIJ_II_2,snr,8
2024-06-13 10:24:06.402,PJU_KIJ_II_2,rssi,-64
2024-06-13 10:24:06.404,PJU_KIJ_II_2,snr,8
2024-06-13 10:24:38.943,PJU_KIJ_II_2,rssi,-61
2024-06-13 10:24:38.944,PJU_KIJ_II_2,snr,0
2024-06-13 10:26:22.73,PJU_KIJ_II_2,rssi,-59
2024-06-13 10:26:22.733,PJU_KIJ_II_2,snr,11
2024-06-13 10:26:31.122,PJU_KIJ_II_2,rssi,-61
2024-06-13 10:26:31.127,PJU_KIJ_II_2,snr,9
2024-06-13 10:44:12.931,PJU_KIJ_II_2,rssi,-64
2024-06-13 10:44:12.933,PJU_KIJ_II_2,snr,2
2024-06-13 10:45:50.025,PJU_KIJ_II_2,rssi,-63
2024-06-13 10:45:50.026,PJU_KIJ_II_2,snr,11
2024-06-13 10:46:00.919,PJU_KIJ_II_2,rssi,-67
2024-06-13 10:46:00.92,PJU_KIJ_II_2,snr,9
2024-06-13 10:58:23.702,PJU_KIJ_II_2,rssi,-69
2024-06-13 10:58:23.702,PJU_KIJ_II_2,snr,6
2024-06-13 10:58:42.253,PJU_KIJ_II_2,rssi,-68
2024-06-13 10:58:42.254,PJU_KIJ_II_2,snr,7
2024-06-13 10:58:55.707,PJU_KIJ_II_2,rssi,-64
2024-06-13 10:58:55.709,PJU_KIJ_II_2,snr,-1
2024-06-13 11:03:08.087,PJU_KIJ_II_2,rssi,-65
2024-06-13 11:03:08.089,PJU_KIJ_II_2,snr,9
2024-06-13 11:03:20.414,PJU_KIJ_II_2,rssi,-65
2024-06-13 11:03:20.416,PJU_KIJ_II_2,snr,9
2024-06-13 11:03:27.259,PJU_KIJ_II_2,rssi,-65
2024-06-13 11:03:27.261,PJU_KIJ_II_2,snr,5
2024-06-13 11:03:47.344,PJU_KIJ_II_2,rssi,-65
2024-06-13 11:03:47.345,PJU_KIJ_II_2,snr,7
2024-06-13 11:03:58.455,PJU_KIJ_II_2,rssi,-67
2024-06-13 11:03:58.457,PJU_KIJ_II_2,snr,11
2024-06-13 11:05:55.11,PJU_KIJ_II_2,rssi,-67
2024-06-13 11:05:55.112,PJU_KIJ_II_2,snr,9
2024-06-13 11:13:52.082,PJU_KIJ_II_2,rssi,-67
2024-06-13 11:13:52.083,PJU_KIJ_II_2,snr,10
2024-06-13 11:14:59.912,PJU_KIJ_II_2,rssi,-70
2024-06-13 11:14:59.913,PJU_KIJ_II_2,snr,7
2024-06-13 11:15:15.105,PJU_KIJ_II_2,rssi,-67
2024-06-13 11:15:15.107,PJU_KIJ_II_2,snr,11
2024-06-13 11:15:27.283,PJU_KIJ_II_2,rssi,-70
2024-06-13 11:15:27.285,PJU_KIJ_II_2,snr,9
2024-06-13 11:17:28.907,PJU_KIJ_II_2,rssi,-57
2024-06-13 11:17:28.908,PJU_KIJ_II_2,snr,-5
2024-06-13 11:25:51.61,PJU_KIJ_II_2,rssi,-68
2024-06-13 11:25:51.611,PJU_KIJ_II_2,snr,11
2024-06-13 11:25:59.908,PJU_KIJ_II_2,rssi,-68
2024-06-13 11:25:59.911,PJU_KIJ_II_2,snr,9
